карта
новая карта
ваша карта
карта России
терпеть не могу
Только без Лермонтова.
Только на стадионе.
Только с тобой!
ты бот что ли?
ты бот что ли?
ты глупый бот
ты долго думаешь
Ты его цитировал?
ты занимаешься спортом?
Ты знаешь Инфов?
ты инф что ли
ты искусственный интелект?
ты козел что ли?
ты любишь морковь?
Ты маньяк да?
Ты меня оскорбляешь?
ты не знаешь
ты очень туп
ты так считаешь
Ты хочешь свозить?
ты че охренел?
ты че пацифист
у меня айфон
умирать и выпендриваться
Ура кризис кончался
что вы умеете
Что за бред?
что за карты
что за проект?
Что значит круто?
Что такое OSM?
что такое Аборт
что такое идиосинкразия?
Что такое навигатор?
Что такое наносемантика
что такое непорядок
что такое ОСМ?
Что такое экстремизм?
что тебе фиг
что тебя интересует?
что ты дурак
что ты еблан
Что ты знаешь?
Что ты идиот
что ты лох
что ты любишь?
Что ты умеешь?
что ты умешь?
что это такое?
что-то ты тормозишь!
Это очень сложно...
это точно
Это эпическая абракадабра.
Это я заметила
Этот сайт твой
Я в курсе
Я девушка вообще-то.
Я из Украины.
я люблю BMW
я люблю смайлики
я люблю тебя
Я начинаю стесняться
я не знаю
я не играю
я не спамер
я обожаю аниме
я поддерживаю беседу
я сейчас обижусь
я секса хочу
я съел его
я тут нужен?
я хочу пива
а как вас зовут
